Samplenum	Food	Type	Country	Year	Hazard	Concentration	LOQ	LOD	Unit	LOQtrue	LODtrue	DummyC	DummyCobs	DummyLOQobs	DummyLODobs	trueprev
28	fruitvege	vege	EU	2020	campylobacter	0.053	0.020	0.020	cfu.p.gram	0.02	0.02	0.053	0.053	0.020	0.020	1
29	fruitvege	vege	EU	2020	campylobacter	0.041	0.020	0.020	cfu.p.gram	0.02	0.02	0.041	0.041	0.020	0.020	1
30	fruitvege	vege	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.014	NA	NA	0.020	1
31	fruitvege	vege	EU	2020	campylobacter	0.790	0.020	0.020	cfu.p.gram	0.02	0.02	0.790	0.790	0.020	0.020	1
32	fruitvege	vege	EU	2020	campylobacter	0.031	0.020	0.020	cfu.p.gram	0.02	0.02	0.031	0.031	0.020	0.020	1
33	fruitvege	vege	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.004	NA	NA	0.020	1
34	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
35	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.016	NA	NA	0.020	0.3
36	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
37	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.011	NA	NA	0.020	0.3
38	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
39	seafood	fish	EU	2020	campylobacter	0.052	0.020	0.020	cfu.p.gram	0.02	0.02	0.052	0.052	0.020	0.020	0.3
40	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
41	seafood	fish	EU	2020	campylobacter	0.034	0.020	0.020	cfu.p.gram	0.02	0.02	0.034	0.034	0.020	0.020	0.3
42	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
43	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
44	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.016	NA	NA	0.020	0.3
45	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
46	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
47	seafood	fish	EU	2020	campylobacter	0.024	0.020	0.020	cfu.p.gram	0.02	0.02	0.024	0.024	0.020	0.020	0.3
48	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
49	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.019	NA	NA	0.020	0.3
50	seafood	fish	EU	2020	campylobacter	0.056	0.020	0.020	cfu.p.gram	0.02	0.02	0.056	0.056	0.020	0.020	0.3
51	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
52	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
53	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
54	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
55	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
56	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
57	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
58	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.006	NA	NA	0.020	0.3
59	seafood	fish	EU	2020	campylobacter	0.026	0.020	0.020	cfu.p.gram	0.02	0.02	0.026	0.026	0.020	0.020	0.3
60	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
61	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
62	seafood	fish	EU	2020	campylobacter	0.098	0.020	0.020	cfu.p.gram	0.02	0.02	0.098	0.098	0.020	0.020	0.3
63	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
64	seafood	fish	EU	2020	campylobacter	0.028	0.020	0.020	cfu.p.gram	0.02	0.02	0.028	0.028	0.020	0.020	0.3
65	seafood	fish	EU	2020	campylobacter	0.022	0.020	0.020	cfu.p.gram	0.02	0.02	0.022	0.022	0.020	0.020	0.3
66	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
67	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
68	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
69	seafood	fish	EU	2020	campylobacter	0.073	0.020	0.020	cfu.p.gram	0.02	0.02	0.073	0.073	0.020	0.020	0.3
70	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
71	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.015	NA	NA	0.020	0.3
72	seafood	fish	EU	2020	campylobacter	0.025	0.020	0.020	cfu.p.gram	0.02	0.02	0.025	0.025	0.020	0.020	0.3
73	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
74	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
75	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
76	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
77	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
78	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
79	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
80	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
81	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.015	NA	NA	0.020	0.3
82	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.014	NA	NA	0.020	0.3
83	seafood	fish	EU	2020	campylobacter	0.039	0.020	0.020	cfu.p.gram	0.02	0.02	0.039	0.039	0.020	0.020	0.3
84	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
85	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.015	NA	NA	0.020	0.3
86	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
87	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
88	seafood	fish	EU	2020	campylobacter	0.024	0.020	0.020	cfu.p.gram	0.02	0.02	0.024	0.024	0.020	0.020	0.3
89	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.008	NA	NA	0.020	0.3
90	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
91	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
92	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.015	NA	NA	0.020	0.3
93	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
94	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
95	seafood	fish	EU	2020	campylobacter	0.032	0.020	0.020	cfu.p.gram	0.02	0.02	0.032	0.032	0.020	0.020	0.3
96	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
97	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
98	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
99	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
100	seafood	fish	EU	2020	campylobacter	0.029	0.020	0.020	cfu.p.gram	0.02	0.02	0.029	0.029	0.020	0.020	0.3
101	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
102	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
103	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.009	NA	NA	0.020	0.3
104	seafood	fish	EU	2020	campylobacter	0.033	0.020	0.020	cfu.p.gram	0.02	0.02	0.033	0.033	0.020	0.020	0.3
105	seafood	fish	EU	2020	campylobacter	0.026	0.020	0.020	cfu.p.gram	0.02	0.02	0.026	0.026	0.020	0.020	0.3
106	seafood	fish	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.000	NA	NA	0.020	0.3
107	milkproducts	milk	EU	2020	campylobacter	0.199	0.010	0.010	cfu.p.gram	0.01	0.01	0.199	0.199	0.010	0.010	1
108	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.004	NA	NA	0.010	1
109	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.003	NA	NA	0.010	1
110	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.001	NA	NA	0.010	1
111	milkproducts	milk	EU	2020	campylobacter	0.217	0.010	0.010	cfu.p.gram	0.01	0.01	0.217	0.217	0.010	0.010	1
112	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.008	NA	NA	0.010	1
113	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.008	NA	NA	0.010	1
114	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.004	NA	NA	0.010	1
115	milkproducts	milk	EU	2020	campylobacter	0.029	0.010	0.010	cfu.p.gram	0.01	0.01	0.029	0.029	0.010	0.010	1
116	milkproducts	milk	EU	2020	campylobacter	0.024	0.010	0.010	cfu.p.gram	0.01	0.01	0.024	0.024	0.010	0.010	1
117	milkproducts	milk	EU	2020	campylobacter	2.008	0.010	0.010	cfu.p.gram	0.01	0.01	2.008	2.008	0.010	0.010	1
118	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.003	NA	NA	0.010	1
119	milkproducts	milk	EU	2020	campylobacter	0.059	0.010	0.010	cfu.p.gram	0.01	0.01	0.059	0.059	0.010	0.010	1
120	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.010	NA	NA	0.010	1
121	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.007	NA	NA	0.010	1
122	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.003	NA	NA	0.010	1
123	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.001	NA	NA	0.010	1
124	milkproducts	milk	EU	2020	campylobacter	0.307	0.010	0.010	cfu.p.gram	0.01	0.01	0.307	0.307	0.010	0.010	1
125	milkproducts	milk	EU	2020	campylobacter	0.017	0.010	0.010	cfu.p.gram	0.01	0.01	0.017	0.017	0.010	0.010	1
126	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.008	NA	NA	0.010	1
127	milkproducts	milk	EU	2020	campylobacter	0.044	0.010	0.010	cfu.p.gram	0.01	0.01	0.044	0.044	0.010	0.010	1
128	milkproducts	milk	EU	2020	campylobacter	0.265	0.010	0.010	cfu.p.gram	0.01	0.01	0.265	0.265	0.010	0.010	1
129	milkproducts	milk	EU	2020	campylobacter	0.424	0.010	0.010	cfu.p.gram	0.01	0.01	0.424	0.424	0.010	0.010	1
130	milkproducts	milk	EU	2020	campylobacter	0.023	0.010	0.010	cfu.p.gram	0.01	0.01	0.023	0.023	0.010	0.010	1
131	milkproducts	milk	EU	2020	campylobacter	0.021	0.010	0.010	cfu.p.gram	0.01	0.01	0.021	0.021	0.010	0.010	1
132	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.002	NA	NA	0.010	1
133	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.002	NA	NA	0.010	1
134	milkproducts	milk	EU	2020	campylobacter	0.025	0.010	0.010	cfu.p.gram	0.01	0.01	0.025	0.025	0.010	0.010	1
135	milkproducts	milk	EU	2020	campylobacter	0.012	0.010	0.010	cfu.p.gram	0.01	0.01	0.012	0.012	0.010	0.010	1
136	milkproducts	milk	EU	2020	campylobacter	0.162	0.010	0.010	cfu.p.gram	0.01	0.01	0.162	0.162	0.010	0.010	1
137	milkproducts	milk	EU	2020	campylobacter	0.095	0.010	0.010	cfu.p.gram	0.01	0.01	0.095	0.095	0.010	0.010	1
138	milkproducts	milk	EU	2020	campylobacter	0.076	0.010	0.010	cfu.p.gram	0.01	0.01	0.076	0.076	0.010	0.010	1
139	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.002	NA	NA	0.010	1
140	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.003	NA	NA	0.010	1
141	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.007	NA	NA	0.010	1
142	milkproducts	milk	EU	2020	campylobacter	0.291	0.010	0.010	cfu.p.gram	0.01	0.01	0.291	0.291	0.010	0.010	1
143	milkproducts	milk	EU	2020	campylobacter	0.013	0.010	0.010	cfu.p.gram	0.01	0.01	0.013	0.013	0.010	0.010	1
144	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.005	NA	NA	0.010	1
145	milkproducts	milk	EU	2020	campylobacter	0.072	0.010	0.010	cfu.p.gram	0.01	0.01	0.072	0.072	0.010	0.010	1
146	milkproducts	milk	EU	2020	campylobacter	0.054	0.010	0.010	cfu.p.gram	0.01	0.01	0.054	0.054	0.010	0.010	1
147	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.000	NA	NA	0.010	1
148	milkproducts	milk	EU	2020	campylobacter	0.037	0.010	0.010	cfu.p.gram	0.01	0.01	0.037	0.037	0.010	0.010	1
149	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.004	NA	NA	0.010	1
150	milkproducts	milk	EU	2020	campylobacter	0.049	0.010	0.010	cfu.p.gram	0.01	0.01	0.049	0.049	0.010	0.010	1
151	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.006	NA	NA	0.010	1
152	milkproducts	milk	EU	2020	campylobacter	0.021	0.010	0.010	cfu.p.gram	0.01	0.01	0.021	0.021	0.010	0.010	1
153	milkproducts	milk	EU	2020	campylobacter	0.013	0.010	0.010	cfu.p.gram	0.01	0.01	0.013	0.013	0.010	0.010	1
154	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.009	NA	NA	0.010	1
155	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.006	NA	NA	0.010	1
156	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.001	NA	NA	0.010	1
157	milkproducts	milk	EU	2020	campylobacter	0.011	0.010	0.010	cfu.p.gram	0.01	0.01	0.011	0.011	0.010	0.010	1
158	milkproducts	milk	EU	2020	campylobacter	0.013	0.010	0.010	cfu.p.gram	0.01	0.01	0.013	0.013	0.010	0.010	1
159	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.010	NA	NA	0.010	1
160	milkproducts	milk	EU	2020	campylobacter	0.112	0.010	0.010	cfu.p.gram	0.01	0.01	0.112	0.112	0.010	0.010	1
161	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.003	NA	NA	0.010	1
162	milkproducts	milk	EU	2020	campylobacter	0.010	0.010	0.010	cfu.p.gram	0.01	0.01	0.010	0.010	0.010	0.010	1
163	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.005	NA	NA	0.010	1
164	milkproducts	milk	EU	2020	campylobacter	0.015	0.010	0.010	cfu.p.gram	0.01	0.01	0.015	0.015	0.010	0.010	1
165	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.001	NA	NA	0.010	1
166	milkproducts	milk	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.002	NA	NA	0.010	1
167	eggproducts	egg	EU	2020	campylobacter	0.017	0.010	0.010	cfu.p.gram	0.01	0.01	0.017	0.017	0.010	0.010	1
168	eggproducts	egg	EU	2020	campylobacter	0.011	0.010	0.010	cfu.p.gram	0.01	0.01	0.011	0.011	0.010	0.010	1
169	eggproducts	egg	EU	2020	campylobacter	0.200	0.010	0.010	cfu.p.gram	0.01	0.01	0.200	0.200	0.010	0.010	1
170	eggproducts	egg	EU	2020	campylobacter	0.039	0.010	0.010	cfu.p.gram	0.01	0.01	0.039	0.039	0.010	0.010	1
171	eggproducts	egg	EU	2020	campylobacter	0.032	0.010	0.010	cfu.p.gram	0.01	0.01	0.032	0.032	0.010	0.010	1
172	eggproducts	egg	EU	2020	campylobacter	0.016	0.010	0.010	cfu.p.gram	0.01	0.01	0.016	0.016	0.010	0.010	1
173	eggproducts	egg	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.010	NA	NA	0.010	1
174	eggproducts	egg	EU	2020	campylobacter	0.089	0.010	0.010	cfu.p.gram	0.01	0.01	0.089	0.089	0.010	0.010	1
175	eggproducts	egg	EU	2020	campylobacter	0.027	0.010	0.010	cfu.p.gram	0.01	0.01	0.027	0.027	0.010	0.010	1
176	eggproducts	egg	EU	2020	campylobacter	0.148	0.010	0.010	cfu.p.gram	0.01	0.01	0.148	0.148	0.010	0.010	1
177	eggproducts	egg	EU	2020	campylobacter	0.250	0.010	0.010	cfu.p.gram	0.01	0.01	0.250	0.250	0.010	0.010	1
178	eggproducts	egg	EU	2020	campylobacter	0.520	0.010	0.010	cfu.p.gram	0.01	0.01	0.520	0.520	0.010	0.010	1
179	eggproducts	egg	EU	2020	campylobacter	0.018	0.010	0.010	cfu.p.gram	0.01	0.01	0.018	0.018	0.010	0.010	1
180	eggproducts	egg	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.008	NA	NA	0.010	1
181	eggproducts	egg	EU	2020	campylobacter	0.043	0.010	0.010	cfu.p.gram	0.01	0.01	0.043	0.043	0.010	0.010	1
182	eggproducts	egg	EU	2020	campylobacter	0.117	0.010	0.010	cfu.p.gram	0.01	0.01	0.117	0.117	0.010	0.010	1
183	eggproducts	egg	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.005	NA	NA	0.010	1
184	eggproducts	egg	EU	2020	campylobacter	0.033	0.010	0.010	cfu.p.gram	0.01	0.01	0.033	0.033	0.010	0.010	1
185	eggproducts	egg	EU	2020	campylobacter	0.110	0.010	0.010	cfu.p.gram	0.01	0.01	0.110	0.110	0.010	0.010	1
186	eggproducts	egg	EU	2020	campylobacter	0.033	0.010	0.010	cfu.p.gram	0.01	0.01	0.033	0.033	0.010	0.010	1
187	eggproducts	egg	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.004	NA	NA	0.010	1
188	eggproducts	egg	EU	2020	campylobacter	0.053	0.010	0.010	cfu.p.gram	0.01	0.01	0.053	0.053	0.010	0.010	1
189	eggproducts	egg	EU	2020	campylobacter	0.455	0.010	0.010	cfu.p.gram	0.01	0.01	0.455	0.455	0.010	0.010	1
190	eggproducts	egg	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.010	NA	NA	0.010	1
191	eggproducts	egg	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.003	NA	NA	0.010	1
192	eggproducts	egg	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.004	NA	NA	0.010	1
193	eggproducts	egg	EU	2020	campylobacter	0.045	0.010	0.010	cfu.p.gram	0.01	0.01	0.045	0.045	0.010	0.010	1
194	eggproducts	egg	EU	2020	campylobacter	0.194	0.010	0.010	cfu.p.gram	0.01	0.01	0.194	0.194	0.010	0.010	1
195	eggproducts	egg	EU	2020	campylobacter	NA	NA	0.010	cfu.p.gram	0.01	0.01	0.008	NA	NA	0.010	1
196	eggproducts	egg	EU	2020	campylobacter	0.069	0.010	0.010	cfu.p.gram	0.01	0.01	0.069	0.069	0.010	0.010	1
197	eggproducts	egg	EU	2020	campylobacter	0.048	0.010	0.010	cfu.p.gram	0.01	0.01	0.048	0.048	0.010	0.010	1
198	eggproducts	egg	EU	2020	campylobacter	0.022	0.010	0.010	cfu.p.gram	0.01	0.01	0.022	0.022	0.010	0.010	1
199	eggproducts	egg	EU	2020	campylobacter	0.162	0.010	0.010	cfu.p.gram	0.01	0.01	0.162	0.162	0.010	0.010	1
200	eggproducts	egg	EU	2020	campylobacter	0.078	0.010	0.010	cfu.p.gram	0.01	0.01	0.078	0.078	0.010	0.010	1
201	eggproducts	egg	EU	2020	campylobacter	0.516	0.010	0.010	cfu.p.gram	0.01	0.01	0.516	0.516	0.010	0.010	1
202	eggproducts	egg	EU	2020	campylobacter	0.013	0.010	0.010	cfu.p.gram	0.01	0.01	0.013	0.013	0.010	0.010	1
203	eggproducts	egg	EU	2020	campylobacter	0.093	0.010	0.010	cfu.p.gram	0.01	0.01	0.093	0.093	0.010	0.010	1
