IDnum	Weight	broiler1	milk1	fish1	egg1	vege1	broiler2	milk2	fish2	egg2	vege2		
39	107.6	0.00	871.13	0.00	0.00	0.00	222.60	815.75	0.00	87.80	138.77		
40	72.1	79.15	279.85	72.01	0.00	0.00	0.00	238.95	0.00	0.00	0.00		
41	89.0	0.00	455.60	0.00	0.00	86.57	0.00	426.56	160.04	0.00	0.00		
42	65.5	0.00	193.14	68.76	0.00	22.30	62.88	232.51	0.00	0.00	0.00		
43	68.3	0.00	0.00	0.00	0.00	0.00	83.25	293.67	0.00	0.00	0.00		
44	73.1	93.31	339.07	95.88	0.00	38.24	0.00	308.21	0.00	19.41	39.42		
45	102.3	0.00	660.36	0.00	0.00	92.40	0.00	0.00	0.00	0.00	0.00		
46	72.2	0.00	245.98	0.00	0.00	25.83	0.00	265.53	0.00	0.00	28.26		
47	62.6	48.92	195.58	63.62	0.00	24.27	0.00	0.00	0.00	0.00	19.96		
48	76.6	89.77	362.37	97.59	0.00	0.00	0.00	343.05	113.13	0.00	0.00		
49	69.0	0.00	294.15	0.00	0.00	0.00	77.00	216.41	0.00	0.00	32.06		
50	77.8	104.09	399.33	0.00	0.00	0.00	91.66	356.04	0.00	0.00	36.25		
51	75.3	111.33	0.00	102.72	23.39	0.00	0.00	293.60	93.61	34.46	32.75		
52	69.4	0.00	253.54	0.00	0.00	27.69	75.29	214.66	87.10	0.00	0.00		
53	66.1	68.11	0.00	0.00	0.00	0.00	62.64	0.00	0.00	15.71	35.17		
54	79.4	0.00	325.47	0.00	0.00	0.00	0.00	408.03	0.00	0.00	48.90		
55	61.4	48.53	0.00	0.00	11.49	0.00	0.00	175.78	55.35	0.00	0.00		
56	89.1	0.00	475.54	176.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00		
57	74.4	0.00	0.00	84.00	0.00	34.46	93.31	279.21	0.00	0.00	0.00		
58	85.7	0.00	480.05	155.69	0.00	42.95	0.00	437.05	0.00	0.00	0.00		
59	83.6	125.28	438.09	0.00	0.00	43.55	118.16	426.70	0.00	46.57	50.97		
60	63.1	65.07	163.69	69.13	0.00	20.71	0.00	167.31	68.12	0.00	0.00		
61	89.2	0.00	521.13	0.00	0.00	78.67	0.00	559.06	0.00	45.59	65.10		
62	70.7	71.67	270.79	84.32	0.00	0.00	0.00	241.20	72.97	0.00	0.00		
63	74.3	0.00	301.53	0.00	0.00	38.24	0.00	325.97	0.00	24.82	0.00		
64	76.6	0.00	0.00	0.00	0.00	0.00	0.00	326.62	0.00	0.00	32.47		
65	71.3	0.00	256.31	0.00	0.00	24.92	0.00	249.64	0.00	22.15	0.00		
66	92.7	0.00	640.67	0.00	0.00	78.03	0.00	508.33	0.00	0.00	0.00		
67	72.3	0.00	0.00	77.28	0.00	32.06	76.96	0.00	0.00	19.42	0.00		
68	87.9	135.93	517.90	131.65	0.00	70.45	0.00	555.46	0.00	0.00	0.00		
69	73.3	0.00	293.24	79.94	23.42	33.50	0.00	256.85	0.00	0.00	0.00		
70	58.0	0.00	160.32	0.00	0.00	15.75	0.00	0.00	0.00	0.00	0.00		
71	77.4	81.73	365.16	0.00	0.00	41.59	0.00	506.77	0.00	0.00	40.13		
72	68.1	61.22	225.11	0.00	21.63	21.47	64.80	282.05	75.71	20.13	0.00		
73	87.1	0.00	423.65	0.00	0.00	61.46	0.00	385.54	171.24	0.00	0.00		
74	72.4	80.52	248.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31.42		
75	75.4	0.00	0.00	0.00	0.00	30.70	79.03	332.96	0.00	0.00	0.00		
76	68.8	64.70	231.41	0.00	0.00	0.00	0.00	197.35	0.00	0.00	30.58		
77	67.3	0.00	237.78	0.00	21.74	0.00	0.00	226.23	0.00	0.00	25.18		
78	86.0	134.62	0.00	0.00	0.00	63.62	115.31	359.20	0.00	0.00	59.90		
79	74.9	0.00	294.78	0.00	0.00	36.62	79.78	273.23	0.00	21.54	0.00		
80	68.1	0.00	218.14	0.00	0.00	0.00	0.00	244.05	72.50	0.00	0.00		
81	78.3	88.41	342.99	0.00	0.00	0.00	103.35	291.98	0.00	24.01	0.00		
82	66.0	0.00	0.00	0.00	0.00	24.92	63.58	230.59	0.00	0.00	0.00		
83	66.8	0.00	0.00	0.00	17.40	31.39	0.00	237.34	0.00	0.00	26.87		
84	72.0	78.58	299.22	75.44	23.92	33.46	0.00	332.44	0.00	0.00	26.39		
85	64.5	0.00	239.65	0.00	13.77	0.00	0.00	0.00	0.00	0.00	0.00		
86	85.2	0.00	394.34	0.00	45.34	70.20	0.00	504.67	0.00	0.00	0.00		
87	82.2	0.00	385.04	0.00	37.17	0.00	119.94	0.00	113.75	0.00	0.00		
88	111.1	0.00	745.43	0.00	0.00	140.49	195.62	0.00	0.00	0.00	0.00		
89	65.5	0.00	0.00	0.00	0.00	0.00	0.00	177.95	0.00	0.00	0.00		
90	66.2	0.00	0.00	66.63	0.00	0.00	0.00	233.64	0.00	0.00	28.02		
91	104.7	0.00	753.75	221.68	0.00	0.00	186.99	0.00	0.00	0.00	0.00		
92	80.4	0.00	459.74	0.00	30.95	0.00	107.87	0.00	144.98	0.00	0.00		
93	73.4	89.90	268.97	0.00	0.00	0.00	0.00	242.27	100.49	0.00	0.00		
94	100.8	0.00	527.31	0.00	0.00	0.00	0.00	636.41	253.59	0.00	0.00		
95	59.9	0.00	185.94	0.00	11.77	16.95	0.00	148.85	0.00	12.97	0.00		
96	72.9	0.00	0.00	88.77	0.00	0.00	0.00	233.25	0.00	0.00	0.00		
97	78.3	0.00	333.23	111.30	0.00	0.00	0.00	332.46	0.00	0.00	0.00		
98	65.2	0.00	239.89	0.00	0.00	0.00	0.00	188.57	0.00	0.00	28.30		
99	69.9	0.00	181.34	0.00	0.00	27.44	0.00	221.46	0.00	0.00	0.00		
100	77.5	0.00	351.57	112.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00		
101	73.0	107.28	271.43	0.00	0.00	27.17	0.00	274.03	94.14	0.00	0.00		
102	92.7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	62.77	84.40		
103	70.3	0.00	0.00	93.99	19.52	0.00	0.00	254.13	0.00	0.00	0.00		
104	78.2	113.00	382.66	99.61	0.00	0.00	0.00	366.55	0.00	0.00	0.00		
105	74.9	0.00	341.36	0.00	0.00	0.00	80.85	347.32	0.00	24.78	0.00		
106	90.5	0.00	524.53	0.00	0.00	74.61	0.00	0.00	0.00	0.00	0.00		
107	66.3	0.00	209.52	0.00	0.00	0.00	0.00	194.83	0.00	0.00	0.00		
108	75.2	0.00	278.71	116.96	0.00	0.00	0.00	363.80	0.00	0.00	0.00		
109	62.0	0.00	0.00	0.00	0.00	0.00	0.00	184.51	0.00	0.00	0.00		
110	78.3	0.00	265.66	0.00	0.00	53.05	0.00	358.96	0.00	0.00	38.82		
111	75.1	0.00	274.04	0.00	0.00	0.00	0.00	272.62	119.82	0.00	0.00		
112	66.0	57.19	0.00	0.00	0.00	26.17	0.00	218.07	0.00	0.00	0.00		
113	75.8	0.00	390.10	0.00	25.87	0.00	0.00	338.22	0.00	0.00	0.00		
114	61.0	0.00	163.90	0.00	0.00	15.99	49.21	165.16	0.00	0.00	0.00		
115	73.9	104.94	259.53	102.01	0.00	30.85	90.39	246.85	0.00	25.18	0.00		
116	64.2	0.00	262.03	0.00	14.26	16.72	0.00	214.66	0.00	0.00	0.00		
117	76.8	0.00	253.03	0.00	0.00	0.00	0.00	0.00	112.51	0.00	0.00		
118	64.5	0.00	161.98	0.00	0.00	0.00	56.85	180.30	56.71	0.00	0.00		
119	98.0	182.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	87.45		
120	104.8	237.22	0.00	0.00	93.07	0.00	0.00	737.56	0.00	0.00	0.00		
121	79.4	0.00	325.22	0.00	0.00	41.62	0.00	301.17	0.00	28.69	47.84		
122	88.2	154.25	496.06	163.66	0.00	0.00	0.00	0.00	0.00	38.79	0.00		
123	78.2	0.00	364.97	0.00	0.00	39.71	0.00	310.01	0.00	0.00	0.00		
124	69.0	0.00	0.00	87.31	15.27	33.70	73.34	0.00	0.00	0.00	0.00		
125	70.9	66.22	198.01	0.00	0.00	22.01	85.71	0.00	0.00	0.00	0.00		
126	62.8	0.00	171.34	0.00	0.00	16.46	0.00	169.31	50.98	0.00	0.00		
127	70.3	73.85	225.83	77.56	0.00	0.00	0.00	263.73	0.00	0.00	33.28		
128	68.7	62.96	232.58	0.00	0.00	0.00	0.00	195.47	79.69	0.00	0.00		
129	88.7	0.00	546.06	0.00	0.00	71.13	160.25	451.22	0.00	41.75	0.00		
130	56.1	0.00	160.18	0.00	6.63	13.02	0.00	140.56	0.00	11.14	0.00		
131	70.9	0.00	0.00	73.21	0.00	35.87	0.00	206.62	99.24	0.00	0.00		
132	77.6	0.00	387.50	0.00	0.00	40.65	0.00	0.00	0.00	0.00	0.00		
133	105.5	192.78	857.19	277.05	0.00	96.93	0.00	0.00	0.00	73.19	0.00		
134	87.6	109.57	447.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		
135	69.0	59.74	212.82	90.30	0.00	0.00	0.00	0.00	0.00	15.51	0.00		
136	66.0	0.00	0.00	62.71	0.00	0.00	72.89	0.00	0.00	0.00	0.00		
137	74.3	96.42	310.09	0.00	19.06	0.00	0.00	276.20	0.00	0.00	0.00		
138	88.6	0.00	415.64	164.32	56.42	71.91	0.00	539.79	0.00	0.00	0.00		
139	71.1	69.50	203.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		
140	71.7	81.18	291.48	0.00	0.00	35.11	0.00	236.25	0.00	0.00	0.00		
141	76.9	0.00	348.89	0.00	0.00	43.40	0.00	294.27	0.00	15.87	43.80		
142	71.0	0.00	268.24	0.00	0.00	0.00	83.62	0.00	0.00	0.00	45.18		
143	57.6	0.00	117.79	0.00	0.00	0.00	0.00	131.01	0.00	10.57	0.00		
144	65.4	77.28	205.40	0.00	0.00	14.52	0.00	185.84	0.00	0.00	0.00		
145	93.4	139.52	560.66	0.00	0.00	80.06	0.00	637.62	167.87	0.00	0.00		
146	78.3	0.00	369.73	0.00	0.00	38.39	0.00	0.00	0.00	23.40	0.00		
147	70.3	0.00	249.44	97.32	0.00	35.97	0.00	270.65	98.21	0.00	0.00		
148	91.4	152.97	496.32	0.00	0.00	75.81	0.00	0.00	0.00	0.00	0.00		
149	78.4	89.64	399.32	0.00	0.00	44.90	0.00	0.00	112.28	0.00	0.00		
150	66.6	57.33	224.70	0.00	0.00	0.00	76.22	207.86	0.00	0.00	0.00		
151	52.8	0.00	104.05	0.00	0.00	10.58	0.00	105.33	0.00	8.83	0.00		
152	70.9	0.00	0.00	81.28	0.00	0.00	0.00	316.37	83.91	0.00	27.07		
153	62.4	0.00	0.00	57.27	0.00	21.17	63.82	138.45	58.31	14.22	0.00		
154	72.2	0.00	338.63	0.00	0.00	32.81	0.00	266.07	0.00	25.55	0.00		
155	87.1	0.00	441.76	168.89	0.00	0.00	104.11	482.25	0.00	0.00	0.00		
156	89.8	0.00	426.79	147.22	50.23	53.79	138.21	0.00	0.00	0.00	0.00		
157	80.5	0.00	342.43	0.00	0.00	41.99	0.00	322.77	0.00	28.32	0.00		
158	77.1	0.00	318.61	127.72	0.00	25.97	0.00	353.01	0.00	0.00	39.09		
159	58.9	41.47	136.46	0.00	0.00	16.23	0.00	133.95	0.00	0.00	0.00		
160	75.6	0.00	331.48	93.74	0.00	32.42	0.00	325.91	0.00	0.00	0.00		
161	68.9	71.33	197.43	0.00	18.57	34.62	69.07	228.24	0.00	0.00	0.00		
162	83.6	0.00	452.16	88.41	0.00	47.82	0.00	336.76	0.00	0.00	49.28		
163	91.1	0.00	584.27	133.38	0.00	0.00	0.00	547.87	0.00	0.00	89.04		
164	70.0	78.91	265.97	0.00	0.00	33.66	0.00	232.14	0.00	16.64	0.00		
165	70.4	84.74	213.87	0.00	0.00	0.00	0.00	202.62	0.00	16.80	0.00		
166	100.0	0.00	601.62	237.32	0.00	111.48	0.00	626.70	0.00	0.00	0.00		
167	59.9	49.26	157.14	0.00	0.00	0.00	0.00	169.28	0.00	0.00	19.09		
168	78.8	0.00	347.99	0.00	25.03	0.00	0.00	364.15	0.00	0.00	0.00		
169	75.5	0.00	250.29	82.95	0.00	0.00	93.24	0.00	0.00	0.00	35.51		
170	61.9	0.00	0.00	0.00	0.00	22.61	62.02	0.00	0.00	0.00	17.54		
171	82.6	0.00	367.85	0.00	0.00	0.00	116.35	374.62	0.00	0.00	0.00		
172	88.6	0.00	592.37	175.60	0.00	56.31	105.57	574.90	0.00	0.00	0.00		
173	66.8	0.00	214.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		
174	64.0	0.00	0.00	0.00	0.00	0.00	0.00	215.35	67.47	0.00	0.00		
175	71.8	0.00	0.00	0.00	0.00	32.43	0.00	276.16	81.80	0.00	0.00		
176	73.7	0.00	284.55	93.03	0.00	27.63	81.12	0.00	0.00	0.00	0.00		
177	59.5	0.00	187.52	0.00	7.51	0.00	0.00	0.00	0.00	0.00	0.00		
178	69.4	67.61	239.41	0.00	0.00	0.00	0.00	258.70	79.17	0.00	36.40		
179	67.1	0.00	201.05	73.41	0.00	0.00	65.04	247.36	0.00	0.00	0.00		
180	75.6	0.00	0.00	0.00	0.00	0.00	0.00	267.18	0.00	0.00	0.00		
181	57.9	0.00	128.15	0.00	0.00	0.00	0.00	138.18	0.00	0.00	0.00		
182	70.3	0.00	231.76	0.00	0.00	29.65	0.00	267.45	0.00	0.00	0.00		
183	51.8	0.00	128.95	0.00	0.00	0.00	33.85	0.00	0.00	7.01	11.16		
184	83.6	0.00	396.78	0.00	0.00	57.01	0.00	393.83	0.00	0.00	0.00		
185	93.9	0.00	519.58	0.00	0.00	69.80	163.32	475.97	0.00	0.00	0.00		
186	77.4	90.57	0.00	0.00	27.14	37.55	0.00	328.90	0.00	0.00	0.00		
187	73.8	70.16	253.24	0.00	0.00	32.38	80.86	0.00	0.00	0.00	0.00		
188	90.7	0.00	459.67	0.00	41.31	0.00	156.00	446.59	201.21	0.00	51.64		
189	70.8	0.00	261.52	0.00	0.00	0.00	0.00	259.97	0.00	0.00	0.00		
190	68.2	81.47	207.26	0.00	0.00	0.00	0.00	237.52	0.00	0.00	0.00		
191	58.4	0.00	139.59	53.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00		
192	56.1	0.00	141.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		
193	80.8	0.00	395.38	0.00	0.00	37.93	0.00	347.61	0.00	0.00	0.00		
194	77.7	0.00	420.80	0.00	0.00	35.82	0.00	284.69	0.00	0.00	0.00		
195	98.0	0.00	0.00	165.01	0.00	97.37	0.00	649.16	0.00	0.00	0.00		
196	83.7	0.00	409.90	0.00	0.00	55.20	0.00	470.58	0.00	0.00	0.00		
197	70.3	0.00	0.00	94.02	16.53	0.00	67.95	209.52	0.00	0.00	38.62		
198	96.5	0.00	639.91	0.00	0.00	0.00	149.21	598.74	167.41	0.00	0.00		
199	67.1	0.00	283.22	75.48	0.00	0.00	0.00	181.43	0.00	0.00	0.00		
200	68.6	68.24	205.70	106.46	0.00	24.74	0.00	292.64	0.00	0.00	0.00		
201	79.7	0.00	324.28	0.00	0.00	0.00	90.67	396.19	0.00	0.00	51.12		
202	88.0	0.00	0.00	0.00	0.00	57.08	0.00	0.00	0.00	0.00	55.82		
203	81.1	0.00	0.00	0.00	0.00	57.24	0.00	0.00	0.00	46.76	57.63		
204	71.6	0.00	0.00	0.00	0.00	34.00	79.32	300.84	0.00	0.00	0.00		
205	67.0	0.00	222.23	0.00	0.00	29.18	0.00	243.02	0.00	0.00	0.00		
206	79.5	0.00	335.37	0.00	29.96	0.00	0.00	295.79	128.02	0.00	0.00		
207	81.7	108.82	0.00	0.00	0.00	0.00	0.00	458.02	0.00	0.00	50.42		
208	61.4	44.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	19.34		
209	76.4	0.00	312.60	0.00	0.00	30.78	0.00	0.00	0.00	0.00	0.00		
210	67.2	0.00	211.30	0.00	0.00	34.35	64.14	221.51	0.00	0.00	0.00		
211	87.5	0.00	417.68	160.07	0.00	0.00	0.00	0.00	145.55	0.00	0.00		
212	77.1	0.00	315.79	0.00	0.00	41.78	0.00	0.00	139.28	0.00	44.22		
213	79.8	0.00	323.79	0.00	0.00	47.89	0.00	371.50	0.00	0.00	0.00		
214	86.2	0.00	0.00	0.00	0.00	0.00	116.18	364.33	0.00	0.00	64.39		
215	92.1	0.00	546.78	0.00	0.00	0.00	0.00	0.00	189.42	0.00	0.00		
216	65.5	0.00	265.11	102.93	0.00	0.00	72.90	182.86	0.00	0.00	0.00		
217	80.0	112.55	381.07	0.00	38.00	0.00	106.64	395.43	0.00	28.63	43.85		
218	56.6	0.00	0.00	0.00	0.00	0.00	0.00	137.53	53.83	0.00	15.32		
219	70.4	0.00	280.91	0.00	0.00	0.00	0.00	210.76	0.00	0.00	0.00		
220	84.4	0.00	500.69	0.00	0.00	55.36	0.00	0.00	0.00	0.00	66.84		
221	89.6	0.00	0.00	0.00	35.21	0.00	0.00	0.00	0.00	0.00	0.00		
222	68.8	0.00	210.59	0.00	14.73	25.75	0.00	246.92	0.00	0.00	0.00		
223	94.3	149.11	939.20	0.00	51.73	84.24	150.93	561.44	194.45	0.00	0.00		
224	70.7	0.00	213.20	0.00	23.27	28.48	0.00	223.47	76.82	0.00	0.00		
225	68.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	83.20	0.00	28.53		
226	78.2	94.30	324.59	0.00	0.00	0.00	0.00	315.14	110.28	0.00	42.32		
227	67.4	87.16	208.42	0.00	0.00	0.00	0.00	210.83	0.00	0.00	0.00		
228	74.0	0.00	303.12	0.00	0.00	31.39	0.00	253.18	85.96	22.25	0.00		
229	70.1	0.00	201.35	0.00	0.00	28.49	0.00	262.02	103.98	0.00	0.00		
230	105.4	0.00	757.94	0.00	0.00	133.36	197.51	790.27	231.06	0.00	104.17		
231	80.0	0.00	0.00	0.00	29.97	38.61	0.00	424.79	0.00	0.00	40.67		
232	76.3	89.67	352.45	0.00	0.00	0.00	0.00	335.01	107.82	0.00	0.00		
233	65.3	0.00	0.00	0.00	0.00	0.00	0.00	263.11	56.96	13.30	0.00		
234	71.6	0.00	328.72	0.00	29.55	0.00	0.00	303.59	0.00	17.08	0.00		
235	75.2	0.00	330.66	0.00	0.00	0.00	84.49	0.00	0.00	0.00	0.00		
236	79.9	0.00	0.00	0.00	0.00	0.00	0.00	390.37	0.00	0.00	0.00		
237	74.8	92.16	288.46	0.00	0.00	43.33	93.50	257.68	0.00	0.00	0.00		
238	75.8	84.65	295.21	0.00	0.00	51.12	93.97	0.00	0.00	0.00	0.00		
239	75.7	0.00	312.67	96.25	0.00	28.49	0.00	336.29	126.84	0.00	0.00		
240	93.0	144.27	541.61	0.00	0.00	86.72	0.00	0.00	0.00	0.00	0.00		
241	82.6	101.45	456.22	0.00	0.00	0.00	0.00	384.19	113.41	0.00	43.35		
242	93.9	0.00	0.00	0.00	0.00	85.50	0.00	0.00	0.00	0.00	68.68		
243	78.6	0.00	430.71	0.00	23.70	60.31	0.00	297.87	0.00	26.56	0.00		
244	77.4	0.00	419.32	0.00	0.00	0.00	96.88	0.00	0.00	0.00	46.29		
245	100.4	234.04	829.62	0.00	0.00	76.34	190.39	0.00	0.00	54.27	0.00		
246	80.7	0.00	264.28	0.00	0.00	44.17	121.32	312.17	0.00	0.00	0.00		
247	66.7	0.00	213.41	76.08	0.00	20.20	0.00	0.00	80.08	0.00	22.37		
248	95.3	182.32	0.00	0.00	55.64	0.00	173.07	596.99	0.00	55.21	0.00		
249	71.4	0.00	244.04	88.37	0.00	25.29	0.00	286.58	0.00	0.00	0.00		
250	67.9	0.00	212.57	64.87	0.00	0.00	76.80	213.96	0.00	0.00	0.00		
251	62.7	0.00	222.50	48.67	0.00	0.00	0.00	0.00	0.00	17.41	21.09		
252	82.9	0.00	402.89	0.00	0.00	38.76	114.61	287.20	0.00	0.00	52.74		
253	68.2	0.00	228.48	0.00	0.00	26.39	0.00	252.95	0.00	0.00	0.00		
254	73.0	93.26	0.00	0.00	0.00	28.61	88.98	289.53	0.00	0.00	0.00		
255	76.8	0.00	0.00	0.00	0.00	47.92	0.00	309.04	0.00	0.00	44.13		
256	71.6	77.97	247.42	95.37	0.00	29.93	66.18	264.65	0.00	0.00	0.00		
257	67.4	0.00	252.17	72.91	0.00	0.00	61.89	231.32	0.00	19.88	0.00		
258	69.1	0.00	192.09	0.00	19.22	24.03	0.00	252.51	69.68	0.00	0.00		
259	77.9	103.61	0.00	0.00	0.00	39.91	0.00	334.17	0.00	30.51	0.00		
260	80.6	0.00	300.67	88.39	0.00	0.00	0.00	284.56	119.72	28.19	59.66		
261	66.9	0.00	241.05	0.00	0.00	25.28	77.07	185.45	60.48	0.00	0.00		
262	78.3	0.00	0.00	0.00	0.00	0.00	85.31	321.29	123.67	0.00	0.00		
263	63.8	0.00	178.61	0.00	0.00	0.00	47.71	214.54	0.00	0.00	0.00		
264	73.9	0.00	332.35	0.00	0.00	0.00	91.64	280.83	108.78	23.23	27.72		
265	65.0	0.00	0.00	0.00	13.36	0.00	0.00	0.00	0.00	0.00	0.00		
266	69.2	0.00	0.00	0.00	17.72	0.00	73.89	268.54	0.00	0.00	0.00		
267	81.3	102.57	0.00	0.00	0.00	49.99	0.00	382.56	0.00	0.00	0.00		
268	62.9	59.97	0.00	0.00	0.00	0.00	68.41	156.63	0.00	0.00	19.30		
269	68.3	0.00	180.02	0.00	19.61	34.22	0.00	260.29	0.00	22.69	0.00		
270	68.6	74.70	235.85	0.00	21.05	26.77	0.00	204.65	0.00	0.00	0.00		
271	78.7	0.00	311.74	105.26	0.00	0.00	0.00	396.81	0.00	0.00	33.27		
272	64.3	0.00	166.50	0.00	0.00	0.00	61.48	149.25	77.44	0.00	0.00		
273	71.7	0.00	0.00	0.00	0.00	0.00	0.00	281.94	0.00	20.93	0.00		
274	74.7	0.00	277.25	0.00	0.00	32.54	0.00	292.18	0.00	0.00	0.00		
275	70.5	0.00	240.06	0.00	0.00	41.68	0.00	248.79	0.00	27.20	0.00		
276	65.1	0.00	189.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		
277	78.1	0.00	345.97	0.00	31.72	45.69	119.66	0.00	0.00	0.00	37.75		
278	77.5	117.15	264.47	0.00	0.00	0.00	83.05	345.62	0.00	25.87	0.00		
279	78.7	0.00	311.79	0.00	0.00	38.25	0.00	302.39	0.00	0.00	0.00		
280	83.6	0.00	389.80	136.83	0.00	0.00	0.00	410.66	0.00	0.00	0.00		
281	67.1	0.00	210.24	0.00	0.00	28.95	58.18	0.00	0.00	0.00	0.00		
282	94.1	0.00	559.73	0.00	0.00	0.00	0.00	513.07	0.00	0.00	0.00		
283	76.8	0.00	334.52	0.00	0.00	0.00	0.00	261.74	0.00	0.00	0.00		
284	68.3	0.00	231.15	0.00	0.00	0.00	0.00	0.00	0.00	18.18	0.00		
285	61.9	53.85	202.02	0.00	0.00	22.60	58.19	178.56	0.00	0.00	0.00		
286	75.9	92.65	282.22	0.00	0.00	40.98	0.00	0.00	79.28	0.00	46.02		
287	75.2	0.00	280.38	0.00	0.00	40.45	0.00	0.00	0.00	0.00	38.90		
288	95.4	190.52	0.00	0.00	0.00	67.84	0.00	0.00	0.00	0.00	0.00		
289	92.3	149.06	606.75	0.00	0.00	68.09	156.27	461.87	0.00	45.33	0.00		
290	63.3	54.22	184.36	69.21	0.00	0.00	0.00	0.00	66.42	0.00	0.00		
291	78.4	0.00	340.67	0.00	0.00	0.00	0.00	335.63	0.00	19.71	38.81		
292	76.6	108.24	257.50	0.00	0.00	41.85	0.00	363.47	0.00	0.00	0.00		
293	76.9	0.00	352.09	0.00	0.00	45.15	0.00	0.00	0.00	0.00	0.00		
294	66.1	65.09	223.09	0.00	16.85	20.50	0.00	236.12	0.00	0.00	0.00		
295	67.6	0.00	0.00	75.00	0.00	0.00	0.00	189.44	0.00	0.00	0.00		
